Category,Question,Answer
HISTORY,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus
HISTORY,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way
HISTORY,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Ceylon (or Sri Lanka)
HISTORY,Karl led the first of these Marxist organizational efforts; the second one began in 1889,the International
HISTORY,"This Asian political party was founded in 1885 with ""Indian National"" as part of its name",the Congress Party
SCIENCE,99.95% of the mass of an atom is in this part,the nucleus
SCIENCE,"During this plant process, carbon dioxide & water combine with light energy to create oxygen & glucose",photosynthesis
SCIENCE,The wedge is an adaptation of the simple machine called the inclined this,plane
SCIENCE,"Of the 6 noble gases on the periodic table, it is the lightest",helium
SCIENCE,Lava & igneous rock are formed from this hot liquid rock material found under the earth's crust,magma
HISTORY,"After a 15-year stay in England, this proprietor of Pennsylvania returned to his colony in 1699",William Penn
HISTORY,This young man put his savings into a small Cleveland refinery in 1862 & eventually had an oil monopoly,John D. Rockefeller
HISTORY,First Lady Helen Taft led a fund-raising drive for a memorial to this 1912 marine disaster,Sinking of the Titanic
HISTORY,This Chiricahua Apache was a popular attraction at the 1904 World's Fair in St. Louis,Geronimo
HISTORY,"In 1801 this onetime VP compiled ""A Manual of Parliamentary Practice"" still used in the U.S. Senate",Thomas Jefferson
SCIENCE,"This white, glossy coating on your teeth is the hardest substance in the human body",Enamel
SCIENCE,The time it takes for 50% of the atoms to decay in a radioactive substance is called this,Half-life
SCIENCE,"While compounds of this element are added to table salt, in its pure form it's quite poisonous",Iodine
SCIENCE,"The ""super"" class of these stars, the largest known, includes Antares & Betelgeuse",Red giants
SCIENCE,"On the pH scale, a pH of 7 indicates this type of solution",Neutral
SCIENCE,"At sea level at 70 degrees this travels 1,129 feet per second; it speeds up over 1 foot per sec. for each rising degree",sound
SCIENCE,"The largest tree, the General Sherman in California, is this type, also called a Sierra Redwood",a sequoia
